"","p","freq","mu_a","lambda_eff","N","beta_eff","mu_l","mu_h","mu_BB","mu_AB","mu_AA","species"
"1",1,1,0.00273972602739726,4.8,0.000123,0.00010958904109589,0.01643836,4.57534246575342e-05,0.9,0.5,0.1,"Ascaris lumbricoides"
"2",1,1,0.00273972602739726,4.8,0.000123,0.00010958904109589,0.0289829506122449,4.57534246575342e-05,0.9,0.5,0.1,"Ascaris lumbricoides"
"3",1,1,0.00273972602739726,4.8,0.000123,0.00010958904109589,0.0415275412244898,4.57534246575342e-05,0.9,0.5,0.1,"Ascaris lumbricoides"
"4",1,1,0.00273972602739726,4.8,0.000123,0.00010958904109589,0.0540721318367347,4.57534246575342e-05,0.9,0.5,0.1,"Ascaris lumbricoides"
"5",1,1,0.00273972602739726,4.8,0.000123,0.00010958904109589,0.0666167224489796,4.57534246575342e-05,0.9,0.5,0.1,"Ascaris lumbricoides"
"6",1,1,0.00273972602739726,4.8,0.000123,0.00010958904109589,0.0791613130612245,4.57534246575342e-05,0.9,0.5,0.1,"Ascaris lumbricoides"
"7",1,1,0.00273972602739726,4.8,0.000123,0.00010958904109589,0.0917059036734694,4.57534246575342e-05,0.9,0.5,0.1,"Ascaris lumbricoides"
"8",1,1,0.00273972602739726,4.8,0.000123,0.00010958904109589,0.104250494285714,4.57534246575342e-05,0.9,0.5,0.1,"Ascaris lumbricoides"
"9",1,1,0.00273972602739726,4.8,0.000123,0.00010958904109589,0.116795084897959,4.57534246575342e-05,0.9,0.5,0.1,"Ascaris lumbricoides"
"10",1,1,0.00273972602739726,4.8,0.000123,0.00010958904109589,0.129339675510204,4.57534246575342e-05,0.9,0.5,0.1,"Ascaris lumbricoides"
"11",1,1,0.00273972602739726,4.8,0.000123,0.00010958904109589,0.141884266122449,4.57534246575342e-05,0.9,0.5,0.1,"Ascaris lumbricoides"
"12",1,1,0.00273972602739726,4.8,0.000123,0.00010958904109589,0.154428856734694,4.57534246575342e-05,0.9,0.5,0.1,"Ascaris lumbricoides"
"13",1,1,0.00273972602739726,4.8,0.000123,0.00010958904109589,0.166973447346939,4.57534246575342e-05,0.9,0.5,0.1,"Ascaris lumbricoides"
"14",1,1,0.00273972602739726,4.8,0.000123,0.00010958904109589,0.179518037959184,4.57534246575342e-05,0.9,0.5,0.1,"Ascaris lumbricoides"
"15",1,1,0.00273972602739726,4.8,0.000123,0.00010958904109589,0.192062628571429,4.57534246575342e-05,0.9,0.5,0.1,"Ascaris lumbricoides"
"16",1,1,0.00273972602739726,4.8,0.000123,0.00010958904109589,0.204607219183674,4.57534246575342e-05,0.9,0.5,0.1,"Ascaris lumbricoides"
"17",1,1,0.00273972602739726,4.8,0.000123,0.00010958904109589,0.217151809795918,4.57534246575342e-05,0.9,0.5,0.1,"Ascaris lumbricoides"
"18",1,1,0.00273972602739726,4.8,0.000123,0.00010958904109589,0.229696400408163,4.57534246575342e-05,0.9,0.5,0.1,"Ascaris lumbricoides"
"19",1,1,0.00273972602739726,4.8,0.000123,0.00010958904109589,0.242240991020408,4.57534246575342e-05,0.9,0.5,0.1,"Ascaris lumbricoides"
"20",1,1,0.00273972602739726,4.8,0.000123,0.00010958904109589,0.254785581632653,4.57534246575342e-05,0.9,0.5,0.1,"Ascaris lumbricoides"
"21",1,1,0.00273972602739726,4.8,0.000123,0.00010958904109589,0.267330172244898,4.57534246575342e-05,0.9,0.5,0.1,"Ascaris lumbricoides"
"22",1,1,0.00273972602739726,4.8,0.000123,0.00010958904109589,0.279874762857143,4.57534246575342e-05,0.9,0.5,0.1,"Ascaris lumbricoides"
"23",1,1,0.00273972602739726,4.8,0.000123,0.00010958904109589,0.292419353469388,4.57534246575342e-05,0.9,0.5,0.1,"Ascaris lumbricoides"
"24",1,1,0.00273972602739726,4.8,0.000123,0.00010958904109589,0.304963944081633,4.57534246575342e-05,0.9,0.5,0.1,"Ascaris lumbricoides"
"25",1,1,0.00273972602739726,4.8,0.000123,0.00010958904109589,0.317508534693878,4.57534246575342e-05,0.9,0.5,0.1,"Ascaris lumbricoides"
"26",1,1,0.00273972602739726,4.8,0.000123,0.00010958904109589,0.330053125306122,4.57534246575342e-05,0.9,0.5,0.1,"Ascaris lumbricoides"
"27",1,1,0.00273972602739726,4.8,0.000123,0.00010958904109589,0.342597715918367,4.57534246575342e-05,0.9,0.5,0.1,"Ascaris lumbricoides"
"28",1,1,0.00273972602739726,4.8,0.000123,0.00010958904109589,0.355142306530612,4.57534246575342e-05,0.9,0.5,0.1,"Ascaris lumbricoides"
"29",1,1,0.00273972602739726,4.8,0.000123,0.00010958904109589,0.367686897142857,4.57534246575342e-05,0.9,0.5,0.1,"Ascaris lumbricoides"
"30",1,1,0.00273972602739726,4.8,0.000123,0.00010958904109589,0.380231487755102,4.57534246575342e-05,0.9,0.5,0.1,"Ascaris lumbricoides"
"31",1,1,0.00273972602739726,4.8,0.000123,0.00010958904109589,0.392776078367347,4.57534246575342e-05,0.9,0.5,0.1,"Ascaris lumbricoides"
"32",1,1,0.00273972602739726,4.8,0.000123,0.00010958904109589,0.405320668979592,4.57534246575342e-05,0.9,0.5,0.1,"Ascaris lumbricoides"
"33",1,1,0.00273972602739726,4.8,0.000123,0.00010958904109589,0.417865259591837,4.57534246575342e-05,0.9,0.5,0.1,"Ascaris lumbricoides"
"34",1,1,0.00273972602739726,4.8,0.000123,0.00010958904109589,0.430409850204082,4.57534246575342e-05,0.9,0.5,0.1,"Ascaris lumbricoides"
"35",1,1,0.00273972602739726,4.8,0.000123,0.00010958904109589,0.442954440816327,4.57534246575342e-05,0.9,0.5,0.1,"Ascaris lumbricoides"
"36",1,1,0.00273972602739726,4.8,0.000123,0.00010958904109589,0.455499031428572,4.57534246575342e-05,0.9,0.5,0.1,"Ascaris lumbricoides"
"37",1,1,0.00273972602739726,4.8,0.000123,0.00010958904109589,0.468043622040816,4.57534246575342e-05,0.9,0.5,0.1,"Ascaris lumbricoides"
"38",1,1,0.00273972602739726,4.8,0.000123,0.00010958904109589,0.480588212653061,4.57534246575342e-05,0.9,0.5,0.1,"Ascaris lumbricoides"
"39",1,1,0.00273972602739726,4.8,0.000123,0.00010958904109589,0.493132803265306,4.57534246575342e-05,0.9,0.5,0.1,"Ascaris lumbricoides"
"40",1,1,0.00273972602739726,4.8,0.000123,0.00010958904109589,0.505677393877551,4.57534246575342e-05,0.9,0.5,0.1,"Ascaris lumbricoides"
"41",1,1,0.00273972602739726,4.8,0.000123,0.00010958904109589,0.518221984489796,4.57534246575342e-05,0.9,0.5,0.1,"Ascaris lumbricoides"
"42",1,1,0.00273972602739726,4.8,0.000123,0.00010958904109589,0.530766575102041,4.57534246575342e-05,0.9,0.5,0.1,"Ascaris lumbricoides"
"43",1,1,0.00273972602739726,4.8,0.000123,0.00010958904109589,0.543311165714286,4.57534246575342e-05,0.9,0.5,0.1,"Ascaris lumbricoides"
"44",1,1,0.00273972602739726,4.8,0.000123,0.00010958904109589,0.555855756326531,4.57534246575342e-05,0.9,0.5,0.1,"Ascaris lumbricoides"
"45",1,1,0.00273972602739726,4.8,0.000123,0.00010958904109589,0.568400346938776,4.57534246575342e-05,0.9,0.5,0.1,"Ascaris lumbricoides"
"46",1,1,0.00273972602739726,4.8,0.000123,0.00010958904109589,0.580944937551021,4.57534246575342e-05,0.9,0.5,0.1,"Ascaris lumbricoides"
"47",1,1,0.00273972602739726,4.8,0.000123,0.00010958904109589,0.593489528163265,4.57534246575342e-05,0.9,0.5,0.1,"Ascaris lumbricoides"
"48",1,1,0.00273972602739726,4.8,0.000123,0.00010958904109589,0.60603411877551,4.57534246575342e-05,0.9,0.5,0.1,"Ascaris lumbricoides"
"49",1,1,0.00273972602739726,4.8,0.000123,0.00010958904109589,0.618578709387755,4.57534246575342e-05,0.9,0.5,0.1,"Ascaris lumbricoides"
"50",1,1,0.00273972602739726,4.8,0.000123,0.00010958904109589,0.6311233,4.57534246575342e-05,0.9,0.5,0.1,"Ascaris lumbricoides"
"51",1,1,0.00273972602739726,5.61010523710458,0.000123,0.00010958904109589,0.01643836,4.57534246575342e-05,0.9,0.5,0.1,"Ascaris lumbricoides"
"52",1,1,0.00273972602739726,5.61010523710458,0.000123,0.00010958904109589,0.0289829506122449,4.57534246575342e-05,0.9,0.5,0.1,"Ascaris lumbricoides"
"53",1,1,0.00273972602739726,5.61010523710458,0.000123,0.00010958904109589,0.0415275412244898,4.57534246575342e-05,0.9,0.5,0.1,"Ascaris lumbricoides"
"54",1,1,0.00273972602739726,5.61010523710458,0.000123,0.00010958904109589,0.0540721318367347,4.57534246575342e-05,0.9,0.5,0.1,"Ascaris lumbricoides"
"55",1,1,0.00273972602739726,5.61010523710458,0.000123,0.00010958904109589,0.0666167224489796,4.57534246575342e-05,0.9,0.5,0.1,"Ascaris lumbricoides"
"56",1,1,0.00273972602739726,5.61010523710458,0.000123,0.00010958904109589,0.0791613130612245,4.57534246575342e-05,0.9,0.5,0.1,"Ascaris lumbricoides"
"57",1,1,0.00273972602739726,5.61010523710458,0.000123,0.00010958904109589,0.0917059036734694,4.57534246575342e-05,0.9,0.5,0.1,"Ascaris lumbricoides"
"58",1,1,0.00273972602739726,5.61010523710458,0.000123,0.00010958904109589,0.104250494285714,4.57534246575342e-05,0.9,0.5,0.1,"Ascaris lumbricoides"
"59",1,1,0.00273972602739726,5.61010523710458,0.000123,0.00010958904109589,0.116795084897959,4.57534246575342e-05,0.9,0.5,0.1,"Ascaris lumbricoides"
"60",1,1,0.00273972602739726,5.61010523710458,0.000123,0.00010958904109589,0.129339675510204,4.57534246575342e-05,0.9,0.5,0.1,"Ascaris lumbricoides"
"61",1,1,0.00273972602739726,5.61010523710458,0.000123,0.00010958904109589,0.141884266122449,4.57534246575342e-05,0.9,0.5,0.1,"Ascaris lumbricoides"
"62",1,1,0.00273972602739726,5.61010523710458,0.000123,0.00010958904109589,0.154428856734694,4.57534246575342e-05,0.9,0.5,0.1,"Ascaris lumbricoides"
"63",1,1,0.00273972602739726,5.61010523710458,0.000123,0.00010958904109589,0.166973447346939,4.57534246575342e-05,0.9,0.5,0.1,"Ascaris lumbricoides"
"64",1,1,0.00273972602739726,5.61010523710458,0.000123,0.00010958904109589,0.179518037959184,4.57534246575342e-05,0.9,0.5,0.1,"Ascaris lumbricoides"
"65",1,1,0.00273972602739726,5.61010523710458,0.000123,0.00010958904109589,0.192062628571429,4.57534246575342e-05,0.9,0.5,0.1,"Ascaris lumbricoides"
"66",1,1,0.00273972602739726,5.61010523710458,0.000123,0.00010958904109589,0.204607219183674,4.57534246575342e-05,0.9,0.5,0.1,"Ascaris lumbricoides"
"67",1,1,0.00273972602739726,5.61010523710458,0.000123,0.00010958904109589,0.217151809795918,4.57534246575342e-05,0.9,0.5,0.1,"Ascaris lumbricoides"
"68",1,1,0.00273972602739726,5.61010523710458,0.000123,0.00010958904109589,0.229696400408163,4.57534246575342e-05,0.9,0.5,0.1,"Ascaris lumbricoides"
"69",1,1,0.00273972602739726,5.61010523710458,0.000123,0.00010958904109589,0.242240991020408,4.57534246575342e-05,0.9,0.5,0.1,"Ascaris lumbricoides"
"70",1,1,0.00273972602739726,5.61010523710458,0.000123,0.00010958904109589,0.254785581632653,4.57534246575342e-05,0.9,0.5,0.1,"Ascaris lumbricoides"
"71",1,1,0.00273972602739726,5.61010523710458,0.000123,0.00010958904109589,0.267330172244898,4.57534246575342e-05,0.9,0.5,0.1,"Ascaris lumbricoides"
"72",1,1,0.00273972602739726,5.61010523710458,0.000123,0.00010958904109589,0.279874762857143,4.57534246575342e-05,0.9,0.5,0.1,"Ascaris lumbricoides"
"73",1,1,0.00273972602739726,5.61010523710458,0.000123,0.00010958904109589,0.292419353469388,4.57534246575342e-05,0.9,0.5,0.1,"Ascaris lumbricoides"
"74",1,1,0.00273972602739726,5.61010523710458,0.000123,0.00010958904109589,0.304963944081633,4.57534246575342e-05,0.9,0.5,0.1,"Ascaris lumbricoides"
"75",1,1,0.00273972602739726,5.61010523710458,0.000123,0.00010958904109589,0.317508534693878,4.57534246575342e-05,0.9,0.5,0.1,"Ascaris lumbricoides"
"76",1,1,0.00273972602739726,5.61010523710458,0.000123,0.00010958904109589,0.330053125306122,4.57534246575342e-05,0.9,0.5,0.1,"Ascaris lumbricoides"
"77",1,1,0.00273972602739726,5.61010523710458,0.000123,0.00010958904109589,0.342597715918367,4.57534246575342e-05,0.9,0.5,0.1,"Ascaris lumbricoides"
"78",1,1,0.00273972602739726,5.61010523710458,0.000123,0.00010958904109589,0.355142306530612,4.57534246575342e-05,0.9,0.5,0.1,"Ascaris lumbricoides"
"79",1,1,0.00273972602739726,5.61010523710458,0.000123,0.00010958904109589,0.367686897142857,4.57534246575342e-05,0.9,0.5,0.1,"Ascaris lumbricoides"
"80",1,1,0.00273972602739726,5.61010523710458,0.000123,0.00010958904109589,0.380231487755102,4.57534246575342e-05,0.9,0.5,0.1,"Ascaris lumbricoides"
"81",1,1,0.00273972602739726,5.61010523710458,0.000123,0.00010958904109589,0.392776078367347,4.57534246575342e-05,0.9,0.5,0.1,"Ascaris lumbricoides"
"82",1,1,0.00273972602739726,5.61010523710458,0.000123,0.00010958904109589,0.405320668979592,4.57534246575342e-05,0.9,0.5,0.1,"Ascaris lumbricoides"
"83",1,1,0.00273972602739726,5.61010523710458,0.000123,0.00010958904109589,0.417865259591837,4.57534246575342e-05,0.9,0.5,0.1,"Ascaris lumbricoides"
